Country,embassy_track,university_track,research_track,uic_track,total
Afghanistan,0,0,1,0,1
Albania,1,0,0,0,1
Algeria,2,2,0,0,4
Angola,1,0,0,0,1
Argentina,2,0,0,0,2
Armenia,2,1,0,0,3
Australia,1,0,0,0,1
Austria,1,0,0,0,1
Azerbaijan,6,9,0,4,19
Bahrain,3,0,0,0,3
Bangladesh,5,9,4,2,20
Barbados,1,0,0,0,1
Belarus,2,2,0,0,4
Belgium,1,0,0,0,1
Benin,1,0,0,0,1
Bolivia,2,0,0,0,2
"Bosnia and Herzegovina",1,0,0,0,1
Botswana,1,0,0,0,1
Brazil,5,7,0,1,13
Brunei,3,0,0,0,3
Bulgaria,5,1,0,0,6
"Burkina Faso",1,0,0,1,2
"C̫te d'Ivoire",2,0,0,0,2
Cambodia,8,23,6,5,42
Cameroon,0,4,0,0,4
Canada,1,0,0,0,1
Chile,3,1,0,0,4
China,14,0,2,0,16
Colombia,3,4,1,1,9
Congo,1,0,0,0,1
"Costa Rica",1,0,1,0,2
Croatia,1,0,0,0,1
Cuba,1,0,0,0,1
Czechia,2,0,0,0,2
Denmark,1,0,0,0,1
"Dominican Republic",3,1,0,0,4
Ecuador,6,0,0,0,6
Egypt,2,5,1,0,8
"El Salvador",3,0,0,0,3
Estonia,1,0,0,0,1
Ethiopia,6,9,0,2,17
Fiji,1,0,0,0,1
Finland,2,0,0,0,2
France,3,2,0,0,5
Gabon,1,0,0,0,1
Gambia,1,0,1,0,2
Georgia,4,0,0,0,4
Germany,5,1,1,0,7
Ghana,5,7,0,0,12
Greece,2,0,0,0,2
Guatemala,2,0,0,0,2
Guyana,1,0,0,0,1
Honduras,1,0,0,0,1
"Hong Kong",2,0,0,0,2
Hungary,3,1,0,0,4
India,15,31,12,3,61
Indonesia,21,40,28,10,99
Iran,4,4,2,3,13
Iraq,1,0,0,0,1
Israel,3,0,0,0,3
Italy,5,3,0,0,8
Jamaica,1,0,0,0,1
Japan,10,1,0,1,12
Jordan,2,0,0,0,2
Kazakhstan,11,26,2,1,40
Kenya,5,2,0,0,7
Kyrgyzstan,9,11,0,5,25
Laos,10,6,0,0,16
Lebanon,2,0,0,0,2
Libya,1,0,0,0,1
Lithuania,0,2,0,0,2
Madagascar,3,0,0,0,3
Malawi,1,0,0,0,1
Malaysia,17,20,0,1,38
Mexico,4,8,2,0,14
Moldova,0,3,0,0,3
Mongolia,10,29,5,15,59
Morocco,6,1,0,0,7
Mozambique,1,0,0,0,1
Myanmar,13,27,1,13,54
Nepal,3,5,2,0,10
"New Zealand",1,0,0,0,1
Nicaragua,2,0,0,0,2
Nigeria,6,8,0,2,16
Norway,2,0,0,0,2
Oman,3,0,0,0,3
Pakistan,5,9,4,1,19
Palestine,2,0,0,0,2
Panama,4,0,0,0,4
Paraguay,1,0,0,0,1
Peru,4,3,0,0,7
Philippines,13,30,1,2,46
Poland,2,1,0,0,3
Portugal,1,0,0,0,1
Romania,2,3,0,0,5
Russia,14,18,1,4,37
Rwanda,3,4,0,0,7
"Saudi Arabia",1,0,0,0,1
Senegal,3,0,0,0,3
Serbia,3,0,0,0,3
"Sierra Leone",0,1,0,0,1
Singapore,6,0,0,0,6
Slovakia,1,1,0,0,2
Slovenia,1,0,0,0,1
Somalia,2,0,0,0,2
Spain,2,2,0,0,4
"Sri Lanka",5,5,0,0,10
Sudan,4,1,0,0,5
Sweden,1,0,0,0,1
Switzerland,1,0,0,0,1
Taiwan,4,3,0,0,7
Tajikistan,6,8,0,3,17
Tanzania,4,3,0,1,8
Thailand,12,26,0,0,38
Timor-Leste,3,0,0,0,3
Togo,1,0,0,0,1
"Trinidad and Tobago",1,0,0,0,1
Tunisia,6,0,1,0,7
Turkey,7,6,0,2,15
Turkmenistan,4,1,0,0,5
Uganda,4,4,0,0,8
Ukraine,0,4,0,0,4
"United Kingdom",4,0,0,0,4
"United States of America",15,3,0,0,18
Uruguay,1,0,0,0,1
Uzbekistan,12,23,0,12,47
Vietnam,29,30,3,3,65
Yemen,0,0,0,1,1
Zimbabwe,1,0,1,0,2
